filename,class,total_points,ground_points,area_m2,area_km2,density_total_per_m2,density_ground_per_m2,ground_fraction,classification_histogram,returns_histogram,number_of_returns_histogram,n_withheld,n_synthetic,z_quantiles,intensity_quantiles,scan_angle_stats,mean_scan_angle,max_scan_angle
JAM_A02_2011_laz_8.laz,JAM_A02,18649756,313309,710732.8926001495,0.7107328926001495,26.240175731520768,0.4408252428754049,0.016799629979073184,"{2: 313309, 3: 522648, 4: 773749, 5: 17040050}","{1: 11283963, 2: 7365793}","{1: 5593817, 2: 11381157, 3: 1674782}",0,0,[ 88.55  91.34  92.03 113.11 129.52 134.98 169.04],[  0.  33. 112. 180. 700.],"{'mean': np.float64(0.0), 'max': np.int8(0), 'min': np.int8(0), 'p95': np.float64(0.0)}",0.0,0
JAM_A02_2011_laz_9.laz,JAM_A02,6805524,103334,289247.10750006465,0.28924710750006466,23.52840814492321,0.3572516278316695,0.015183841832017637,"{2: 103334, 3: 168660, 4: 294051, 5: 6239479}","{1: 4286990, 2: 2518534}","{1: 2314032, 2: 3946228, 3: 545264}",0,0,[ 84.23  88.29  91.58 112.2  128.96 134.12 142.48],[  0.  35. 120. 182. 700.],"{'mean': np.float64(0.0), 'max': np.int8(0), 'min': np.int8(0), 'p95': np.float64(0.0)}",0.0,0
JAM_A02_2015_laz_14.laz,JAM_A02,17134440,115043,287247.1275000642,0.2872471275000642,59.65051817618671,0.40050182921315475,0.006714138308576177,"{1: 17019397, 2: 115043}","{1: 11047407, 2: 4805308, 3: 1138672, 4: 143053}","{1: 6239716, 2: 7333112, 3: 2988634, 4: 572978}",0,0,[ 83.88  88.32  91.51 109.63 123.29 128.36 142.  ],[1.00e+00 9.00e+00 3.10e+01 5.30e+01 4.28e+03],"{'mean': np.float64(8.147209538216599), 'max': np.int8(18), 'min': np.int8(0), 'p95': np.float64(15.0)}",8.147209538216599,18
JAM_A02_2015_laz_15.laz,JAM_A02,16837215,118808,287347.12650004093,0.2873471265000409,58.59538323936433,0.4134650707912441,0.007056273855266444,"{1: 16718407, 2: 118808}","{1: 10686812, 2: 4822288, 3: 1175194, 4: 152921}","{1: 5862503, 2: 7292439, 3: 3069232, 4: 613041}",0,0,[ 88.19  90.92  92.12 112.09 127.72 132.81 148.88],[  1.   9.  30.  53. 132.],"{'mean': np.float64(8.128018796457727), 'max': np.int8(18), 'min': np.int8(0), 'p95': np.float64(15.0)}",8.128018796457727,18
JAM_A02_2015_laz_12.laz,JAM_A02,37717934,295655,713122.868700164,0.7131228687001641,52.89121364001396,0.41459194898475427,0.007838578857474007,"{1: 37422279, 2: 295655}","{1: 23463877, 2: 11196283, 3: 2720470, 4: 337304}","{1: 12259890, 2: 16955291, 3: 7152766, 4: 1349987}",0,0,[ 90.47  94.49  97.58 117.01 134.45 140.72 155.41],[  1.   9.  31.  52. 240.],"{'mean': np.float64(8.07847495040423), 'max': np.int8(17), 'min': np.int8(0), 'p95': np.float64(15.0)}",8.07847495040423,17
JAM_A02_2015_laz_13.laz,JAM_A02,36126869,343058,682437.4247999227,0.6824374247999228,52.9379950265648,0.5026951739942719,0.009495923934066912,"{1: 35783811, 2: 343058}","{1: 22307787, 2: 10858856, 3: 2636625, 4: 323601}","{1: 11438562, 2: 16450045, 3: 6943174, 4: 1295088}",0,0,[ 91.79  93.07  94.4  113.82 133.06 139.2  151.66],[  1.   9.  30.  52. 300.],"{'mean': np.float64(8.07404059842551), 'max': np.int8(17), 'min': np.int8(0), 'p95': np.float64(15.0)}",8.07404059842551,17
JAM_A02_2015_laz_11.laz,JAM_A02,5370189,44982,102417.62480016194,0.10241762480016194,52.434227121341216,0.43920174957942276,0.008376241506583847,"{1: 5325207, 2: 44982}","{1: 3458302, 2: 1531866, 3: 340462, 4: 39559}","{1: 1924187, 2: 2383772, 3: 903677, 4: 158553}",0,0,[ 91.9   93.24  94.82 113.55 133.17 141.29 150.07],[  1.  10.  32.  52. 138.],"{'mean': np.float64(8.102862860133973), 'max': np.int8(18), 'min': np.int8(0), 'p95': np.float64(15.0)}",8.102862860133973,18
JAM_A02_2015_laz_10.laz,JAM_A02,17449866,106554,287447.12550001766,0.28744712550001766,60.70635067108691,0.37069078292102614,0.006106293309071829,"{1: 17343312, 2: 106554}","{1: 11235661, 2: 4982876, 3: 1103268, 4: 128061}","{1: 6250569, 2: 7759343, 3: 2927167, 4: 512787}",0,0,[ 89.75  92.57  94.82 113.18 129.29 135.68 148.62],[  1.   9.  32.  54. 180.],"{'mean': np.float64(8.040770399039168), 'max': np.int8(17), 'min': np.int8(0), 'p95': np.float64(15.0)}",8.040770399039168,17
JAM_A02_2015_laz_8.laz,JAM_A02,14991232,106507,287147.12850002927,0.28714712850002927,52.20749404080658,0.3709143830076265,0.0071046195536164074,"{1: 14884725, 2: 106507}","{1: 9619323, 2: 4223675, 3: 1015336, 4: 132898}","{1: 5393997, 2: 6416169, 3: 2648991, 4: 532075}",0,0,[ 84.44  89.19  92.04 112.23 129.5  135.1  143.18],[  1.   9.  32.  54. 840.],"{'mean': np.float64(8.132690228528249), 'max': np.int8(17), 'min': np.int8(0), 'p95': np.float64(15.0)}",8.132690228528249,17
JAM_A02_2015_laz_9.laz,JAM_A02,36759401,255769,713022.8697001874,0.7130228697001874,51.554308511109376,0.35871079437823084,0.006957920777871217,"{1: 36503632, 2: 255769}","{1: 23407706, 2: 10624146, 3: 2439349, 4: 288200}","{1: 12779018, 2: 16372124, 3: 6455270, 4: 1152989}",0,0,[ 92.07  97.59 103.49 123.68 143.83 152.28 171.26],[1.00e+00 1.00e+01 3.50e+01 5.50e+01 1.18e+03],"{'mean': np.float64(8.133472523124084), 'max': np.int8(17), 'min': np.int8(0), 'p95': np.float64(15.0)}",8.133472523124084,17
