class12,DTPM_mean,DTPM_std,DTPM_min,DTPM_max,DTPM_count,DGPM_mean,DGPM_std,DGPM_min,DGPM_max,DGPM_count,GF_mean,GF_std,GF_min,GF_max,GF_count,AKM2_mean,AKM2_std,AKM2_min,AKM2_max,AKM2_count,MSAN_mean,MSAN_std,MSAN_min,MSAN_max,MSAN_count,MXSAN_mean,MXSAN_std,MXSAN_min,MXSAN_max,MXSAN_count
ANA_A01_2017,18.597870444245995,2.6684282200657603,14.996305724025852,23.584680795797535,13,0.16989329192460087,0.02573855020355071,0.13560426446081073,0.2128803596728467,13,0.00917498836914392,0.001017419353315612,0.007712205019754378,0.010777414497095857,13,0.6307887671924258,0.365276778533245,0.030498284999999393,0.9999800001002142,13,13.304486342720763,0.35854544607820477,12.451001886830436,13.835438958979207,13,27.307692307692307,0.8548504142651102,26,29,13
ANA_A01_2018,28.082082798618867,0.8409067777072831,26.594216427645684,29.73519848446641,12,0.16405569580787957,0.007298194961504334,0.15477458903066,0.17269456982787645,12,0.00584625781426481,0.0003028987310613028,0.005348276077548903,0.006261291449100328,12,0.8254496173500581,0.10395297186763743,0.6926382386990247,0.9999800001002142,12,10.92496711811127,0.07535416303959502,10.811912400900331,11.025018247626925,12,21.0,0.0,21,21,12
AND_A01_2013,26.156100139016722,11.30008406974812,12.788094918310266,48.894521451274606,30,0.6437224100770694,0.39057080754464546,0.19532957950586274,1.7115289143495693,30,0.027600281589209255,0.02078692983148125,0.010253445597956198,0.08182119363903435,30,0.6671697377699658,0.31725921513419963,0.24997750020003726,1.0014302662006922,30,5.572141208266701,0.45791455954943455,4.649903271557287,6.393610110250226,30,13.233333333333333,0.6260623155792923,12,14,30
AND_A01_2017,29.683607904667227,3.13046493036273,24.169863268354657,34.38333766330757,15,0.5999457026343542,0.1947392888193434,0.391682583492414,1.0105221052208264,15,0.02096731450544157,0.00910066805955956,0.012307031140254757,0.039338806426167036,15,0.6666500001001396,0.32275091753916085,0.24997750020003726,0.9999800001002142,15,10.610329845055439,0.17265551902755064,10.346930921375272,10.878116002660548,15,20.0,0.0,20,20,15
ANTL5770C897,21.394327402841636,0.3309394972774663,21.046605096727347,21.705439600452845,3,0.37920121499497444,0.02573025153291998,0.35205801135359743,0.4032361201186062,3,0.017733431617680828,0.001369761292856504,0.016427559978056557,0.019159200178146908,3,0.8337600099997377,0.14420205479600154,0.7502899872002701,1.0002700151994364,3,2.5651933827592384,0.03825328667080968,2.5335303321864147,2.607697035115613,3,11.333333333333334,2.3094010767585034,10,14,3
ANTL5780C897,22.507004146272678,0.24612934699952643,22.32155725965291,22.78623963915762,3,0.4549691665696816,0.047088331805063936,0.4033024077461044,0.4954729419094444,3,0.020203145807509117,0.001908907879292444,0.01806784370170666,0.02174439265783836,3,0.8338091906001716,0.14418543355318816,0.7503600132001025,1.00030002209993,3,2.553674488633231,0.08194401365464761,2.4979161397759557,2.6477584685775253,3,9.333333333333334,0.5773502691896258,9,10,3
ANTL5790C897,21.542556059164923,0.5947495320316739,21.01223039578423,22.185598532966043,3,0.43019666104518217,0.01853850386750864,0.40881479074248084,0.4417752010717319,3,0.019976593786351995,0.0009332867529254295,0.01907689488461431,0.020940184979582787,3,0.8338258656002355,0.14412769851273033,0.750400014801071,1.0002500135998835,3,2.5286180285588387,0.04763358092893866,2.486071798725207,2.5800792500297525,3,9.666666666666666,1.1547005383792515,9,11,3
ANTL5800C897,21.15832717357861,0.6923503417716147,20.54818871628484,21.91077464594065,3,0.40342404285097494,0.018715723561254224,0.3836160725726864,0.4208121140072702,3,0.019071689005897084,0.0008274544040566452,0.018522573872035958,0.020023398858592265,3,0.8337949954666698,0.1442063245642351,0.7503800139996554,1.0003100168001722,3,2.5461132808395637,0.0587042914694944,2.485146496527181,2.602257581882443,3,11.333333333333334,1.5275252316519468,10,13,3
ANT_A01_2011,21.650553695464463,0.6852791331657604,20.54818871628484,22.78623963915762,12,0.4169477713652033,0.03911891254501572,0.35205801135359743,0.4954729419094444,12,0.019246215054359753,0.001521249138912975,0.016427559978056557,0.02174439265783836,12,0.8337975154167037,0.12295744489921244,0.7502899872002701,1.0003100168001722,12,2.548399795197718,0.05214120217593878,2.485146496527181,2.6477584685775253,12,10.416666666666666,1.6213537179739277,9,14,12
BA3_A01_2014,18.330073059599,3.976485092424726,11.328260146335976,25.286714773203894,12,0.3025191534771157,0.07044719935544191,0.17281149653122302,0.4235097821918941,12,0.01694631809206541,0.004330395384602744,0.00954795444787471,0.025572814529659336,12,0.3038790089502836,0.3239146538416587,0.001934256800010674,1.002271281000718,12,0.0,0.0,0.0,0.0,12,0.0,0.0,0,0,12
