site structure type latitude longitude area_ha potential_population,,site,structure,type,latitude,longitude,area_ha,potential_population
Z-Mt35 l circular_enclosure -58.2266 -9.5330 0.12 36,,Z-Mt35,l,circular_enclosure,-58.2266,-9.533,0.12,36
Z-Mt36 | enclosure -59.7847 -9.9606 1.17 180,,Z-Mt36,|,enclosure,-59.7847,-9.9606,1.17,180
Z-Mt37 | circular_enclosure -59.8073 -9.8468 0.4 74,,Z-Mt37,|,circular_enclosure,-59.8073,-9.8468,0.4,74
Z-Mt38 l circular_enclosure -59.0461 -9.5301 0.37 69,,Z-Mt38,l,circular_enclosure,-59.0461,-9.5301,0.37,69
Z-Mt38 Il circular_enclosure -59.0465 -9.5302 0.37 69,,Z-Mt38,Il,circular_enclosure,-59.0465,-9.5302,0.37,69
Z-Mt39 | circular_enclosure -60.2005 -9.6139 0.31 62,,Z-Mt39,|,circular_enclosure,-60.2005,-9.6139,0.31,62
Z-Mt40 | circular_enclosure -58.0065 -9.5131 0.14 39,,Z-Mt40,|,circular_enclosure,-58.0065,-9.5131,0.14,39
Z-Mt41 | enclosure -58.427 -10.6544 4.71 665,,Z-Mt41,|,enclosure,-58.427,-10.6544,4.71,665
Z-Mt42 | circular_enclosure -59.0987 -9.3028 0.13 37,,Z-Mt42,|,circular_enclosure,-59.0987,-9.3028,0.13,37
Z-Mt43 | circular_enclosure -58.8564 -9.243 0.46 141,,Z-Mt43,|,circular_enclosure,-58.8564,-9.243,0.46,141
Z-Mt43 II circular_enclosure -58.8565 -9.2426 0.46 141,,Z-Mt43,II,circular_enclosure,-58.8565,-9.2426,0.46,141
Z-Mt43 ll circular_enclosure  -58.859 -9.2415 0.46 141,,Z-Mt43,ll,circular_enclosure,-58.859,-9.2415,0.46,141
Z-Mt43 IV circular_enclosure -58.8575 -9.2446 0.46 141,,Z-Mt43,IV,circular_enclosure,-58.8575,-9.2446,0.46,141
Z-Mt44 | circular_enclosure -58.1381 -9.2874 0.07 29,,Z-Mt44,|,circular_enclosure,-58.1381,-9.2874,0.07,29
Z-Mt45 | enclosure -59.0954 -9.6312 0.3 60,,Z-Mt45,|,enclosure,-59.0954,-9.6312,0.3,60
Z-Mt46 | enclosure -58.8959 -9.3249 0.19 46,,Z-Mt46,|,enclosure,-58.8959,-9.3249,0.19,46
